Lattitude,Longitude,Total Doses,Sessions,Sites ,Total Doses/500000,Sessions/786,Sites/54 ,(f+g+h)/3,Out of 100
25.87498,86.59611,1553727,15106,23,3.107454,0.029262087,0.425925926,3.562642012,35.62642012
25.89509,81.9424,1042634,15405,19,2.085268,0.024173028,0.351851852,2.46129288,24.6129288
25.89509,81.9424,1570108,93295,262,3.140216,0.333333333,4.851851852,8.325401185,83.25401185
25.91174,93.7217,50390,1050,3,0.10078,0.003816794,0.055555556,0.160152349,1.601523494
25.94167,83.56111,1393091,24774,49,2.786182,0.062340967,0.907407407,3.755930374,37.55930374
25.9553,80.14842,503280,16633,56,1.00656,0.071246819,1.037037037,2.114843856,21.14843856
25.9553,80.14842,2645188,33936,50,5.290376,0.063613232,0.925925926,6.279915157,62.79915157
25.96667,94.51667,53748,1306,6,0.107496,0.007633588,0.111111111,0.226240699,2.262406989
26.00281,92.85605,510965,39000,70,1.02193,0.089058524,1.296296296,2.40728482,24.0728482
26.02301,76.34408,905763,38663,154,1.811526,0.195928753,2.851851852,4.859306605,48.59306605
26.04259,74.02373,1553139,794422,365,3.106278,0.46437659,6.759259259,10.32991385,103.2991385
26.06832,83.18358,1300523,22875,53,2.601046,0.067430025,0.981481481,3.649957507,36.49957507
26.09717,94.25817,54686,1800,2,0.109372,0.002544529,0.037037037,0.148953566,1.489535663
26.10224,87.95534,791669,7700,13,1.583338,0.01653944,0.240740741,1.840618181,18.40618181
26.11527,86.59509,1871207,35972,27,3.742414,0.034351145,0.5,4.276765145,42.76765145
26.12259,85.39055,809898,21350,52,1.619796,0.066157761,0.962962963,2.648916724,26.48916724
26.1451,79.3366,788867,19300,22,1.577734,0.027989822,0.407407407,2.013131229,20.13131229
26.14934,87.51323,137855,35600,46,0.27571,0.058524173,0.851851852,1.186086025,11.86086025
26.15216,85.89707,964127,12670,41,1.928254,0.05216285,0.759259259,2.739676109,27.39676109
26.15696,81.80519,1166613,48142,48,2.333226,0.061068702,0.888888889,3.283183591,32.83183591
26.16638,75.78824,1620387,6158,36,3.240774,0.045801527,0.666666667,3.953242193,39.53242193
26.17668,90.62634,146234,10640,28,0.292468,0.03562341,0.518518519,0.846609928,8.466099282
26.22096,84.35609,1575738,125100,284,3.151476,0.361323155,5.259259259,8.772058414,87.72058414
26.22983,78.17337,991900,18610,74,1.9838,0.094147583,1.37037037,3.448317953,34.48317953
26.24908,92.34764,172879,4515,15,0.345758,0.019083969,0.277777778,0.642619747,6.426197472
26.25788,82.07269,831800,18321,33,1.6636,0.041984733,0.611111111,2.316695844,23.16695844
26.26704,94.82415,47631,1000,4,0.095262,0.005089059,0.074074074,0.174425133,1.744251326
26.32293,91.00632,614969,54102,64,1.229938,0.081424936,1.185185185,2.496548122,24.96548122
26.3248,94.51834,34325,800,2,0.06865,0.002544529,0.037037037,0.108231566,1.082315663
26.35367,86.07169,923899,118510,99,1.847798,0.125954198,1.833333333,3.807085532,38.07085532
26.38126,81.27436,3792267,81492,123,7.584534,0.15648855,2.277777778,10.01880033,100.1880033
26.40107,90.27286,730242,46310,85,1.460484,0.108142494,1.574074074,3.142700568,31.42700568
26.4521,74.63867,661873,87106,62,1.323746,0.078880407,1.148148148,2.550774555,25.50774555
26.46517,79.50918,932624,35000,17,1.865248,0.021628499,0.314814815,2.201691314,22.01691314
